route_id,route_name
200000204,53
200000043,64
200000209,3900
200000210,82-8
234001007,37-3
200000212,4-2
200000213,3000급
200000214,3000전
200000215,3002전
200000216,3003급
200000217,3003전
200000218,3007급
200000219,3007전
200000220,5100급
200000221,5100전
200000222,7000급
200000223,8800전
200000224,5300전
200000225,7770전
200000226,7780전
234001059,36-8
239000011,30-3
232000093,3000A
200000009,400-1
231000007,1
200000012,990
241006868,8877
210000111,10A역곡역
241007092,1320남부-두원공대
200000017,2-5
210000112,10A범박옥길
234000771,23-7
200000021,83
234000900,23-6
228000179,101
215000084,56-2
228000262,5006
229000275,파주똑버스(DRT)
234001462,22-25
216000103,안산똑버스
200000034,16-2
200000036,311
233000271,9802
228000285,90-1
240000143,8-55
234001517,21-33
241007143,1339-1서초-진천
234001287,21-32
214000182,5
240000185,2-13
241007093,1339남부-진천
200000064,32
240000014,2-2
200000057,24
200000058,45
237000053,929
200000061,36
200000063,58
224000047,3300
234001409,929-3
200000066,26
200000067,63-1
240000011,2-5
229000256,19-3
241006500,8513안양-목포
234001411,924-2
204000131,370
200000084,99
200000086,46-1
200000088,39
200000092,52
200000228,7790급
200000229,7800급
200000230,8800전
200000231,54
200000232,17
200000233,3900전
200000235,90
240000198,34
200000238,63-3
241001040,8222부천-강릉
200000240,22-2
200000241,123
200000243,1
200000244,2
200000245,3
200000246,6
200000247,7
200000248,5
241002030,8354용인-청주
200000250,2-3
234001219,28-17
200000252,21
200000254,25
200000257,25-1
200000258,25-2
200000261,400-5
214000196,5
200000264,2-3
214000225,88
241007135,9701-1안동-인천공항
200000267,787
214000200,77
200000270,123B
200000271,123C
215000130,53-12
200000273,1005
200000208,81
200000276,1005전
222000098,5-1
200000278,123C
204000008,2
204000009,310
204000010,15
227000002,81
207000025,11
204000014,88
204000015,55-1
230000176,20-52
207000101,1-8
215000164,56-8
214000011,110
215000198,90-1
241007076,A4300
227000005,112-5
234000038,65
233000389,H18
241007050,8501수원-여수
208000026,917
204000035,1251
204000036,2003
207000019,3
207000026,133
241007232,9205
204000042,9005
234001161,39-11
204000045,370
234001028,35-2
204000049,380
204000050,360
204000052,310
204000053,320
223000058,73
234001469,26-12
232000006,1002
230000142,28-82
204000062,252
232000073,1004
204000066,1121
232000025,60-3
204000068,280
204000069,8131
207000012,111
204000075,110
204000077,330출
204000080,1002
233000348,H120B
215000230,11
204000090,3-7
204000093,21
204000094,3-5
204000095,3-6
204000096,7
204000097,7-2
204000098,10
235000115,1101
226000024,05
223000023,22
228000400,P9201(출근)
234001082,22-24
235000116,G1300N
235000080,19
204000105,3-3
204000109,75맞춤형
204000110,25
234001471,28-92
230000110,22-23
234000777,22-2
234001075,22-13
236000214,10-2
204000118,602-2A
204000119,602-1C
236000213,10-1
204000122,2
204000123,1
204000124,19
204000126,71
207000061,21-1
207000062,55-2
207000063,10-2
207000067,10-3
236000025,60-1
207000072,7-1
207000073,36-1
207000074,11-1
207000075,17
207000076,1-3
207000077,10-5
207000078,7-2
207000079,9
236000224,12
207000081,10-3
207000082,22
207000083,8-1
207000084,22
214000027,100-1
207000086,10-3
207000089,26
207000090,8-2
207000091,27
207000092,21-1
204000127,810
204000128,811
204000129,812
215000096,53-10
204000132,260
234001201,29-95
204000134,누리1-1
204000135,32-1
234001116,29-40
234000031,1115-6
204000140,232
234001202,21-14
210000027,12
234001178,28-31
218000072,081
231000136,안성똑버스01
234000754,22-12
218000070,080
204000148,231맞춤
234001529,21-91
218000116,730
230000100,28-21
234001063,21-8
206000002,303
241001280,1313서초-천안-유구
206000005,9414
206000006,1151
214000108,49-4
236000154,10
207000010,1-6
218000073,089
224000008,510
207000015,21
215000171,54-1
207000017,2
207000018,28
236000236,90-1
218000071,082A
218000118,082B
200000042,63
207000037,50
207000039,51
207000041,55-1
207000042,55
207000047,35-1
207000048,12-3
236000204,87-4
207000054,30-1
207000055,30-2
200000227,7800전
221000003,1000
210000030,6-1
210000031,70-1
210000032,23-5
234001699,15-5
234001122,38-43
240000048,7-4
241006030,3000금촌-인천
241006877,8634경기광주-창원
241006849,8602의정부-창원
235000092,G1300
229000203,065-1
228000276,10-6
231000025,7
215000018,58-3
210000047,5-6
210000048,15
231000046,100-1
210000050,3-1
241004900,8852
210000053,96
241004790,8211
234001565,1-13
234001681,34-2
241102280,8530이천-전주
241000390,1713동서울-포항
215000140,62-1
241000350,3800고양-청주
210000070,96-1
210000071,33
235000027,73-3
204000170,3100
210000074,88-1
228000156,89
234001489,972-3
241006903,8746하남-동대구
228000017,68
241006905,3309당진-제천
241006906,6900동서울-인천공항
210000063,27
228000209,76-5
241007129,6701
221000030,5
204000117,602-1B
204000116,602-1A
231000014,2-2
200000175,5300
200000299,5200
240000151,77-2
216000102,N80B
228000271,5700B
216000101,N80A
235000102,28
235000100,50
231000015,2-3
228000395,5700A
241004080,8911
231000105,5-5
241004180,5201군산-원주
231000016,7-1
241004210,8463
231000032,15
231000024,1-8
227000038,3000
229000097,9030
204000073,315
204000139,231
241005300,9802
241005310,8472
241005320,9801
241005330,8471
241005460,1802상봉-여주
241005490,1223동서울-비발디
241005500,1218동서울-춘천
241005510,1204동서울-춘천
241005540,9283인천-춘천
241005560,8226성남-춘천
241005570,2305춘천-천안
241005590,2809춘천-안산
241005600,8254고양-춘천
241005610,8809수원-가평
238000005,39-2
216000100,N70B
215000106,61-8
215000069,61-7
